"","ISO3","ADMIN","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"29","BOL","Bolivia","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Andean",26,"South America","other","other","LLDC"
"30","BIH","Bosnia and Herzegovina","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"31","BWA","Botswana","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","LLDC"
"32","BRA","Brazil","South America","South America","Latin America and the Caribbean","South America","Brazil","Brazil","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Tropical",7,"Brazil","other","other","other"
"33","IOT","British Indian Ocean Territory","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"34","VGB","British Virgin Islands","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"35","BRN","Brunei","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income",20,"Rest of East Asia","other","other","other"
"36","BGR","Bulgaria","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"37","BFA","Burkina Faso","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC"
"38","BDI","Burundi","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC"
"39","KHM","Cambodia","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Southeast",20,"Rest of East Asia","LDC","other","other"
"40","CMR","Cameroon","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other"
"41","CAN","Canada","North America","North America","North America","Canada","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"42","CPV","Cape Verde","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","SID","other"
"43","CYM","Cayman Islands","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","other","other"
"44","CAF","Central African Republic","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","LLDC"
"45","TCD","Chad","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC"
"46","CHL","Chile","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Southern",26,"South America","other","other","other"
"47","CHN","China","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","China+","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, East",1,"China","other","other","other"
"48","CLP","Clipperton Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","COL","Colombia","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",26,"South America","other","other","other"
"50","COM","Comoros","Africa","Africa","Africa","Western Indian Ocean","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","SID","other"
"51","COK","Cook Islands","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"52","CSI","Coral Sea Islands","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia",10,"Australia","other","other","other"
"53","CRI","Costa Rica","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"54","HRV","Croatia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"55","CUB","Cuba","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"56","CUW","Curacao","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","other","other"
"57","CYP","Cyprus","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"58","CNM","Cyprus No Mans Area","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"59","CZE","Czech Republic","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"60","COD","Democratic Republic of the Congo","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","other"
"61","DNK","Denmark","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"62","ESB","Dhekelia Sovereign Base Area","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"63","DJI","Djibouti","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other"
"64","DMA","Dominica","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"65","DOM","Dominican Republic","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"66","TLS","East Timor","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Indonesia+","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast",11,"Indonesia","other","other","other"
"67","ECU","Ecuador","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Andean",26,"South America","other","other","other"
"68","EGY","Egypt","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other"
"69","SLV","El Salvador","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"70","GNQ","Equatorial Guinea","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","other"
"71","ERI","Eritrea","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other"
