"","name","introduced","deprecated","removed","value","type"
"629","CURLOPT_SOURCE_USERPWD","7.12.1","-","7.15.5",NA,"unknown"
"630","CURLOPT_SSH_AUTH_TYPES","7.16.1",NA,NA,151,"integer"
"631","CURLOPT_SSH_HOST_PUBLIC_KEY_MD5","7.17.1",NA,NA,10162,"string"
"632","CURLOPT_SSH_KEYDATA","7.19.6",NA,NA,10185,"string"
"633","CURLOPT_SSH_KEYFUNCTION","7.19.6",NA,NA,20184,"function"
"634","CURLOPT_SSH_KNOWNHOSTS","7.19.6",NA,NA,10183,"string"
"635","CURLOPT_SSH_PRIVATE_KEYFILE","7.16.1",NA,NA,10153,"string"
"636","CURLOPT_SSH_PUBLIC_KEYFILE","7.16.1",NA,NA,10152,"string"
"637","CURLOPT_SSL_CIPHER_LIST","7.9",NA,NA,10083,"string"
"638","CURLOPT_SSL_CTX_DATA","7.10.6",NA,NA,10109,"string"
"639","CURLOPT_SSL_CTX_FUNCTION","7.10.6",NA,NA,20108,"function"
"640","CURLOPT_SSL_ENABLE_ALPN","7.36.0",NA,NA,226,"integer"
"641","CURLOPT_SSL_ENABLE_NPN","7.36.0",NA,NA,225,"integer"
"642","CURLOPT_SSL_FALSESTART","7.42.0",NA,NA,233,"integer"
"643","CURLOPT_SSL_OPTIONS","7.25.0",NA,NA,216,"integer"
"644","CURLOPT_SSL_SESSIONID_CACHE","7.16.0",NA,NA,150,"integer"
"645","CURLOPT_SSL_VERIFYHOST","7.8.1",NA,NA,81,"integer"
"646","CURLOPT_SSL_VERIFYPEER","7.4.2",NA,NA,64,"integer"
"647","CURLOPT_SSL_VERIFYSTATUS","7.41.0",NA,NA,232,"integer"
"648","CURLOPT_SSLCERT","7.1",NA,NA,10025,"string"
"649","CURLOPT_SSLCERTPASSWD","7.1.1","7.17.0",NA,10026,"string"
"650","CURLOPT_SSLCERTTYPE","7.9.3",NA,NA,10086,"string"
"651","CURLOPT_SSLENGINE","7.9.3",NA,NA,10089,"string"
"652","CURLOPT_SSLENGINE_DEFAULT","7.9.3",NA,NA,90,"integer"
"653","CURLOPT_SSLKEY","7.9.3",NA,NA,10087,"string"
"654","CURLOPT_SSLKEYPASSWD","7.9.3","7.17.0",NA,10026,"string"
"655","CURLOPT_SSLKEYTYPE","7.9.3",NA,NA,10088,"string"
"656","CURLOPT_SSLVERSION","7.1",NA,NA,32,"integer"
"657","CURLOPT_STDERR","7.1",NA,NA,10037,"string"
"658","CURLOPT_STREAM_DEPENDS","7.46.0",NA,NA,10240,"string"
"659","CURLOPT_STREAM_DEPENDS_E","7.46.0",NA,NA,10241,"string"
"660","CURLOPT_STREAM_WEIGHT","7.46.0",NA,NA,239,"integer"
"661","CURLOPT_TCP_FASTOPEN","7.49.0",NA,NA,244,"integer"
"662","CURLOPT_TCP_KEEPALIVE","7.25.0",NA,NA,213,"integer"
"663","CURLOPT_TCP_KEEPIDLE","7.25.0",NA,NA,214,"integer"
"664","CURLOPT_TCP_KEEPINTVL","7.25.0",NA,NA,215,"integer"
"665","CURLOPT_TCP_NODELAY","7.11.2",NA,NA,121,"integer"
"666","CURLOPT_TELNETOPTIONS","7.7",NA,NA,10070,"string"
"667","CURLOPT_TFTP_BLKSIZE","7.19.4",NA,NA,178,"integer"
"668","CURLOPT_TFTP_NO_OPTIONS","7.48.0",NA,NA,242,"integer"
"669","CURLOPT_TIMECONDITION","7.1",NA,NA,33,"integer"
"670","CURLOPT_TIMEOUT","7.1",NA,NA,13,"integer"
"671","CURLOPT_TIMEOUT_MS","7.16.2",NA,NA,155,"integer"
"672","CURLOPT_TIMEVALUE","7.1",NA,NA,34,"integer"
"673","CURLOPT_TLSAUTH_PASSWORD","7.21.4",NA,NA,10205,"string"
"674","CURLOPT_TLSAUTH_TYPE","7.21.4",NA,NA,10206,"string"
"675","CURLOPT_TLSAUTH_USERNAME","7.21.4",NA,NA,10204,"string"
"676","CURLOPT_TRANSFER_ENCODING","7.21.6",NA,NA,207,"integer"
"677","CURLOPT_TRANSFERTEXT","7.1.1",NA,NA,53,"integer"
"678","CURLOPT_UNIX_SOCKET_PATH","7.40.0",NA,NA,10231,"string"
"679","CURLOPT_UNRESTRICTED_AUTH","7.10.4",NA,NA,105,"integer"
"680","CURLOPT_UPLOAD","7.1",NA,NA,46,"integer"
"681","CURLOPT_URL","7.1",NA,NA,10002,"string"
"682","CURLOPT_USE_SSL","7.17.0",NA,NA,119,"integer"
"683","CURLOPT_USERAGENT","7.1",NA,NA,10018,"string"
"684","CURLOPT_USERNAME","7.19.1",NA,NA,10173,"string"
"685","CURLOPT_USERPWD","7.1",NA,NA,10005,"string"
"686","CURLOPT_VERBOSE","7.1",NA,NA,41,"integer"
"687","CURLOPT_WILDCARDMATCH","7.21.0",NA,NA,197,"integer"
"688","CURLOPT_WRITEDATA","7.9.7",NA,NA,10001,"string"
"689","CURLOPT_WRITEFUNCTION","7.1",NA,NA,20011,"function"
"690","CURLOPT_WRITEHEADER","7.1",NA,NA,10029,"string"
"691","CURLOPT_WRITEINFO","7.1",NA,NA,10040,"string"
"692","CURLOPT_XFERINFODATA","7.32.0",NA,NA,10057,"string"
"693","CURLOPT_XFERINFOFUNCTION","7.32.0",NA,NA,20219,"function"
"694","CURLOPT_XOAUTH2_BEARER","7.33.0",NA,NA,10220,"string"
"695","CURLOPTTYPE_FUNCTIONPOINT","7.1",NA,NA,20000,"function"
"696","CURLOPTTYPE_LONG","7.1",NA,NA,0,"integer"
"697","CURLOPTTYPE_OBJECTPOINT","7.1",NA,NA,10000,"string"
"698","CURLOPTTYPE_OFF_T","7.11.0",NA,NA,30000,"number"
"699","CURLOPTTYPE_STRINGPOINT","7.46.0",NA,NA,10000,"string"
"700","CURLPAUSE_ALL","7.18.0",NA,NA,5,NA
"701","CURLPAUSE_CONT","7.18.0",NA,NA,0,NA
"702","CURLPAUSE_RECV","7.18.0",NA,NA,1,NA
"703","CURLPAUSE_RECV_CONT","7.18.0",NA,NA,0,NA
"704","CURLPAUSE_SEND","7.18.0",NA,NA,4,NA
"705","CURLPAUSE_SEND_CONT","7.18.0",NA,NA,0,NA
"706","CURLPIPE_HTTP1","7.43.0",NA,NA,1,NA
"707","CURLPIPE_MULTIPLEX","7.43.0",NA,NA,2,NA
"708","CURLPIPE_NOTHING","7.43.0",NA,NA,0,NA
"709","CURLPROTO_ALL","7.19.4",NA,NA,-1,NA
"710","CURLPROTO_DICT","7.19.4",NA,NA,512,NA
"711","CURLPROTO_FILE","7.19.4",NA,NA,1024,NA
"712","CURLPROTO_FTP","7.19.4",NA,NA,4,NA
"713","CURLPROTO_FTPS","7.19.4",NA,NA,8,NA
"714","CURLPROTO_GOPHER","7.21.2",NA,NA,33554432,NA
"715","CURLPROTO_HTTP","7.19.4",NA,NA,1,NA
"716","CURLPROTO_HTTPS","7.19.4",NA,NA,2,NA
"717","CURLPROTO_IMAP","7.20.0",NA,NA,4096,NA
"718","CURLPROTO_IMAPS","7.20.0",NA,NA,8192,NA
"719","CURLPROTO_LDAP","7.19.4",NA,NA,128,NA
"720","CURLPROTO_LDAPS","7.19.4",NA,NA,256,NA
"721","CURLPROTO_POP3","7.20.0",NA,NA,16384,NA
"722","CURLPROTO_POP3S","7.20.0",NA,NA,32768,NA
"723","CURLPROTO_RTMP","7.21.0",NA,NA,524288,NA
"724","CURLPROTO_RTMPE","7.21.0",NA,NA,2097152,NA
"725","CURLPROTO_RTMPS","7.21.0",NA,NA,8388608,NA
"726","CURLPROTO_RTMPT","7.21.0",NA,NA,1048576,NA
"727","CURLPROTO_RTMPTE","7.21.0",NA,NA,4194304,NA
"728","CURLPROTO_RTMPTS","7.21.0",NA,NA,16777216,NA
"729","CURLPROTO_RTSP","7.20.0",NA,NA,262144,NA
"730","CURLPROTO_SCP","7.19.4",NA,NA,16,NA
"731","CURLPROTO_SFTP","7.19.4",NA,NA,32,NA
"732","CURLPROTO_SMB","7.40.0",NA,NA,67108864,NA
"733","CURLPROTO_SMBS","7.40.0",NA,NA,134217728,NA
"734","CURLPROTO_SMTP","7.20.0",NA,NA,65536,NA
"735","CURLPROTO_SMTPS","7.20.0",NA,NA,131072,NA
"736","CURLPROTO_TELNET","7.19.4",NA,NA,64,NA
"737","CURLPROTO_TFTP","7.19.4",NA,NA,2048,NA
"738","CURLPROXY_HTTP","7.10",NA,NA,0,NA
"739","CURLPROXY_HTTP_1_0","7.19.4",NA,NA,1,NA
"740","CURLPROXY_SOCKS4","7.10",NA,NA,4,NA
"741","CURLPROXY_SOCKS4A","7.18.0",NA,NA,6,NA
"742","CURLPROXY_SOCKS5","7.10",NA,NA,5,NA
"743","CURLPROXY_SOCKS5_HOSTNAME","7.18.0",NA,NA,7,NA
"744","CURLSHE_BAD_OPTION","7.10.3",NA,NA,1,NA
"745","CURLSHE_IN_USE","7.10.3",NA,NA,2,NA
"746","CURLSHE_INVALID","7.10.3",NA,NA,3,NA
"747","CURLSHE_NOMEM","7.12.0",NA,NA,4,NA
"748","CURLSHE_NOT_BUILT_IN","7.23.0",NA,NA,5,NA
"749","CURLSHE_OK","7.10.3",NA,NA,0,NA
"750","CURLSHOPT_LOCKFUNC","7.10.3",NA,NA,3,NA
"751","CURLSHOPT_NONE","7.10.3",NA,NA,0,NA
"752","CURLSHOPT_SHARE","7.10.3",NA,NA,1,NA
"753","CURLSHOPT_UNLOCKFUNC","7.10.3",NA,NA,4,NA
"754","CURLSHOPT_UNSHARE","7.10.3",NA,NA,2,NA
"755","CURLSHOPT_USERDATA","7.10.3",NA,NA,5,NA
"756","CURLSOCKTYPE_ACCEPT","7.28.0",NA,NA,1,NA
"757","CURLSOCKTYPE_IPCXN","7.16.0",NA,NA,0,NA
"758","CURLSSH_AUTH_AGENT","7.28.0",NA,NA,16,NA
"759","CURLSSH_AUTH_ANY","7.16.1",NA,NA,-1,NA
"760","CURLSSH_AUTH_DEFAULT","7.16.1",NA,NA,-1,NA
"761","CURLSSH_AUTH_HOST","7.16.1",NA,NA,4,NA
"762","CURLSSH_AUTH_KEYBOARD","7.16.1",NA,NA,8,NA
"763","CURLSSH_AUTH_NONE","7.16.1",NA,NA,0,NA
"764","CURLSSH_AUTH_PASSWORD","7.16.1",NA,NA,2,NA
"765","CURLSSH_AUTH_PUBLICKEY","7.16.1",NA,NA,1,NA
"766","CURLSSLBACKEND_AXTLS","7.38.0",NA,NA,10,NA
"767","CURLSSLBACKEND_BORINGSSL","7.49.0",NA,NA,1,NA
"768","CURLSSLBACKEND_CYASSL","7.34.0",NA,NA,7,NA
"769","CURLSSLBACKEND_DARWINSSL","7.34.0",NA,NA,9,NA
"770","CURLSSLBACKEND_GNUTLS","7.34.0",NA,NA,2,NA
"771","CURLSSLBACKEND_GSKIT","7.34.0",NA,NA,5,NA
"772","CURLSSLBACKEND_LIBRESSL","7.49.0",NA,NA,1,NA
"773","CURLSSLBACKEND_MBEDTLS","7.46.0",NA,NA,11,NA
"774","CURLSSLBACKEND_NONE","7.34.0",NA,NA,0,NA
"775","CURLSSLBACKEND_NSS","7.34.0",NA,NA,3,NA
"776","CURLSSLBACKEND_OPENSSL","7.34.0",NA,NA,1,NA
"777","CURLSSLBACKEND_POLARSSL","7.34.0",NA,NA,6,NA
"778","CURLSSLBACKEND_QSOSSL","7.34.0","-","7.38.1",NA,NA
"779","CURLSSLBACKEND_SCHANNEL","7.34.0",NA,NA,8,NA
"780","CURLSSLBACKEND_WOLFSSL","7.49.0",NA,NA,6,NA
"781","CURLSSLOPT_ALLOW_BEAST","7.25.0",NA,NA,1,NA
"782","CURLSSLOPT_NO_REVOKE","7.44.0",NA,NA,2,NA
"783","CURLUSESSL_ALL","7.17.0",NA,NA,3,NA
"784","CURLUSESSL_CONTROL","7.17.0",NA,NA,2,NA
"785","CURLUSESSL_NONE","7.17.0",NA,NA,0,NA
"786","CURLUSESSL_TRY","7.17.0",NA,NA,1,NA
"787","CURLVERSION_FIRST","7.10",NA,NA,0,NA
"788","CURLVERSION_FOURTH","7.16.1",NA,NA,3,NA
"789","CURLVERSION_NOW","7.10",NA,NA,3,NA
"790","CURLVERSION_SECOND","7.11.1",NA,NA,1,NA
"791","CURLVERSION_THIRD","7.12.0",NA,NA,2,NA
